20,DN, 9.00, 25.74, 16.74, , ,STOP, 9.00, 9.69, 0.69, 1653,DONE, 9.00, 9.47, 0.47, 
21,DN, 6.00, 9.39, 3.39, , ,STOP, 6.00, 6.67, 0.67, 526,DONE, 6.00, 6.40, 0.40, 
22,UP, 9.00, 6.34, -2.66, , ,STOP, 9.00, 8.34, -0.66, 371,DONE, 9.00, 8.79, -0.21, 
23,UP, 85.00, 8.80, -76.20, , ,STOP, 9.00, 19.48, 10.48, 769,DONE, 9.00, 20.37, 11.37, 
24,DN, 9.00, 20.37, 11.37, , ,STOP, 9.00, 9.66, 0.66, 893,DONE, 9.00, 9.45, 0.45, 
1,UP, 20.00, 9.34, -10.66, , ,STOP, 20.00, 19.33, -0.67, 737,DONE, 20.00, 19.78, -0.22, 
2,UP, 85.00, 20.22, -64.78, , ,STOP, 20.00, 28.27, 8.27, 900,DONE, 20.00, 28.42, 8.42, 
3,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 7.22, -12.78, 4,DONE, 20.00, 28.42, 8.42, 
4,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 9.17, -10.83, 2,DONE, 20.00, 28.42, 8.42, 
5,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.89, -11.11, 3,DONE, 20.00, 28.42, 8.42, 
6,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 9.40, -10.60, 3,DONE, 20.00, 28.42, 8.42, 
7,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 7.42, -12.58, 3,DONE, 20.00, 28.42, 8.42, 
8,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.39, -11.61, 3,DONE, 20.00, 28.42, 8.42, 
9,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 12.62, -7.38, 12,DONE, 20.00, 28.42, 8.42, 
10,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 7.83, -12.17, 3,DONE, 20.00, 28.42, 8.42, 
11,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.23, -11.77, 3,DONE, 20.00, 28.42, 8.42, 
12,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 9.35, -10.65, 3,DONE, 20.00, 28.42, 8.42, 
13,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.12, -11.88, 2,DONE, 20.00, 28.42, 8.42, 
14,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 7.70, -12.30, 3,DONE, 20.00, 28.42, 8.42, 
15,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.17, -11.83, 4,DONE, 20.00, 28.42, 8.42, 
16,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 7.86, -12.14, 3,DONE, 20.00, 28.42, 8.42, 
17,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.23, -11.77, 3[ErrRelay Cycling ]
,DONE, 20.00, 28.42, 8.42, 
1,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.68, -11.32, 3,DONE, 20.00, 28.42, 8.42, 
2,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 9.32, -10.68, 2,DONE, 20.00, 28.42, 8.42, 
3,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 9.70, -10.30, 11,DONE, 20.00, 28.42, 8.42, 
4,DN, 20.00, 28.57, 8.57, , ,STOP, 20.00, 9.36, -10.64, 3,DONE, 20.00, 28.42, 8.42, 
5,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 9.41, -10.59, 3,DONE, 20.00, 28.42, 8.42, 
6,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.28, -11.72, 3,DONE, 20.00, 28.42, 8.42, 
7,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 9.45, -10.55, 3,DONE, 20.00, 28.42, 8.42, 
8,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.20, -11.80, 2,DONE, 20.00, 28.42, 8.42, 
9,DN, 20.00, 28.42, 8.42, , ,STOP, 20.00, 8.41, -11.59, 3[ErrRelay Cycling ]
,DONE, 20.00, 28.42, 8.42, 
